Fornitore;Articolo;OrAcq - Data Prevista Evasione;OrAcq - Data Effettiva Evasione;OrAcq - Numero Documento;Causale Documento;Pagamento Documento;Riga Evasa;OrAcq - Importo Generale 1;OrAcq - Importo Generale da evadere 1;OrAcq - Importo Generale Evaso 1
;;10 gen 2022;31 gen 2022;1864;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;170,00;0,00;170,00
;;14 gen 2022;31 gen 2022;2037;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;170,00;0,00;170,00
;;28 gen 2022;02 feb 2022;2223;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;178,50;0,00;178,50
;;04 feb 2022;12 feb 2022;2248;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;130,05;0,00;130,05
;;01 apr 2022;25 mar 2022;376;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa parzialmente;283,05;23,80;259,25
;TEC-EL838-01;24 set 2021;10 set 2021;1503;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;14,40;0,00;14,40
;;04 mar 2022;05 mar 2022;362;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;41,00;0,00;41,00
;TEC-EL773-01;17 set 2021;10 set 2021;1503;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;22,00;0,00;22,00
;TEC-EL808-01;24 set 2021;10 set 2021;1503;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;26,00;0,00;26,00
;TEC-EL836-01;24 set 2021;10 set 2021;1503;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;23,20;0,00;23,20
;;04 mar 2022;05 mar 2022;362;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;65,00;0,00;65,00
;TEC-EL942-01;17 gen 2022;25 feb 2022;2262;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;382,50;0,00;382,50
;;15 apr 2022;11 mar 2022;2262;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa parzialmente;255,00;35,70;219,30
;;17 giu 2022;Non definito;2262;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;255,00;255,00;0,00
;TEC-EL827-01;03 gen 2022;26 gen 2022;2056;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;156,06;0,00;156,06
;TEC-EL814-01;17 mar 2022;16 mar 2022;406;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;410,00;0,00;410,00
;;25 mar 2022;25 mar 2022;498;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;205,00;0,00;205,00
;TEC-EL839-01;24 set 2021;10 set 2021;1503;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;48,00;0,00;48,00
;;04 mar 2022;05 mar 2022;362;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;135,00;0,00;135,00
;TEC-EL907-01;17 dic 2021;24 gen 2022;2219;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;3.800,00;0,00;3.800,00
;TEC-EL805-01;24 set 2021;20 set 2021;1503;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;26,00;0,00;26,00
;TEC-EL988-01;22 ott 2021;25 ott 2021;1785;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;91,00;0,00;91,00
;;29 ott 2021;29 nov 2021;1785;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;221,00;0,00;221,00
;;03 dic 2021;10 dic 2021;1785;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;312,00;0,00;312,00
;;01 apr 2022;29 mar 2022;1785;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;312,00;0,00;312,00
;TEC-EL835-01;24 set 2021;10 set 2021;1503;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;22,00;0,00;22,00
;;04 mar 2022;05 mar 2022;362;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;68,00;0,00;68,00
;TEC-EL439-02;19 nov 2021;19 nov 2021;1933;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;83,70;0,00;83,70
;;17 dic 2021;10 dic 2021;1933;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;167,40;0,00;167,40
;;11 feb 2022;12 feb 2022;136;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;167,40;0,00;167,40
;;22 apr 2022;Non definito;303;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;167,40;167,40;0,00
;;24 giu 2022;Non definito;303;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;167,40;167,40;0,00
;;29 lug 2022;Non definito;491;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;167,40;167,40;0,00
;TEC-SL169-05;12 nov 2021;08 nov 2021;1594;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;80,00;0,00;80,00
;;17 dic 2021;22 dic 2021;2214;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;80,00;0,00;80,00
;;10 gen 2022;22 dic 2021;1933;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;80,00;0,00;80,00
;;14 gen 2022;24 gen 2022;2039;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;80,00;0,00;80,00
;;18 feb 2022;18 feb 2022;256;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;80,00;0,00;80,00
;;25 mar 2022;29 mar 2022;2039;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;80,00;0,00;80,00
;;;Non definito;350;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;80,00;80,00;0,00
;TEC-EL837-01;24 set 2021;10 set 2021;1503;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;52,80;0,00;52,80
;;04 mar 2022;05 mar 2022;362;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;138,00;0,00;138,00
;TEC-EL866-01;26 nov 2021;19 nov 2021;1952;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;543,00;0,00;543,00
;;10 gen 2022;18 gen 2022;1952;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;543,00;0,00;543,00
;;04 mar 2022;05 mar 2022;1952;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;543,00;0,00;543,00
;;03 apr 2022;Non definito;1952;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;543,00;543,00;0,00
;;03 giu 2022;Non definito;1952;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;543,00;543,00;0,00
;;03 lug 2022;Non definito;1952;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;543,00;543,00;0,00
;TEC-EL865-01;01 ott 2021;07 ott 2021;1594;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;373,50;0,00;373,50
;;10 gen 2022;11 gen 2022;1954;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;224,10;0,00;224,10
;;11 feb 2022;25 feb 2022;2248;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;52,29;0,00;52,29
;;11 mar 2022;16 mar 2022;136;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;134,46;0,00;134,46
;;25 mar 2022;29 mar 2022;136;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;388,44;0,00;388,44
;;22 apr 2022;Non definito;303;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;448,20;448,20;0,00
;;17 giu 2022;Non definito;350;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;448,20;448,20;0,00
;;29 lug 2022;Non definito;491;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;448,20;448,20;0,00
;TEC-EL953-01;24 set 2021;27 set 2021;1556;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;0,88;0,00;0,88
;;;20 set 2021;1503;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;38,52;0,00;38,52
;;03 mar 2022;11 mar 2022;172;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;71,28;0,00;71,28
;;;;2128;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;40,00;0,00;40,00
;TEC-EL954-01;24 set 2021;27 set 2021;1556;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;1,66;0,00;1,66
;;;20 set 2021;1503;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;230,40;0,00;230,40
;;03 mar 2022;11 mar 2022;172;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;286,56;0,00;286,56
;;;;2128;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;144,00;0,00;144,00
;TEC-EL955-01;24 set 2021;10 set 2021;1503;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;113,76;0,00;113,76
;;03 mar 2022;11 mar 2022;172;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;144,00;0,00;144,00
;;;;2128;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;79,00;0,00;79,00
;TEC-333101904;03 feb 2022;07 feb 2022;2280;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;12,60;0,00;12,60
;;05 feb 2022;07 feb 2022;1785;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;3,15;0,00;3,15
;;03 mar 2022;05 mar 2022;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;44,10;0,00;44,10
;;03 apr 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;100,80;100,80;0,00
;;03 mag 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;100,80;100,80;0,00
;;03 giu 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;100,80;100,80;0,00
;;03 lug 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;100,80;100,80;0,00
;;03 set 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;100,80;100,80;0,00
;;03 ott 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;100,80;100,80;0,00
;;03 nov 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;100,80;100,80;0,00
;TEC-330259915;15 nov 2021;17 nov 2021;2021;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;0,60;0,00;0,60
;;14 gen 2022;26 gen 2022;2092;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;9,00;0,00;9,00
;;03 feb 2022;18 feb 2022;2280;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;9,00;0,00;9,00
;;03 mar 2022;05 mar 2022;2125;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;90,00;0,00;90,00
;;03 apr 2022;Non definito;2125;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;90,00;90,00;0,00
;;03 mag 2022;Non definito;2125;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;90,00;90,00;0,00
;;06 giu 2022;Non definito;2125;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;90,00;90,00;0,00
;;03 lug 2022;Non definito;2125;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;90,00;90,00;0,00
;;03 set 2022;Non definito;2125;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;90,00;90,00;0,00
;;03 ott 2022;Non definito;2125;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;90,00;90,00;0,00
;;03 nov 2022;Non definito;2125;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;90,00;90,00;0,00
;TEC-330264909;03 feb 2022;07 feb 2022;2280;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;6,00;0,00;6,00
;;11 feb 2022;07 feb 2022;22;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;12,00;0,00;12,00
;;03 giu 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;3,00;3,00;0,00
;;03 lug 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;42,00;42,00;0,00
;;03 set 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;42,00;42,00;0,00
;;03 ott 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;42,00;42,00;0,00
;;03 nov 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;42,00;42,00;0,00
;TEC-EL707-01;15 nov 2021;19 nov 2021;1913;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;590,00;0,00;590,00
;;10 dic 2021;11 gen 2022;1997;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;590,00;0,00;590,00
;;03 feb 2022;05 mar 2022;2280;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;590,00;0,00;590,00
;;03 apr 2022;Non definito;224;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;590,00;590,00;0,00
;TEC-EL859-01;10 gen 2022;18 gen 2022;1997;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;114,00;0,00;114,00
;;25 mar 2022;25 mar 2022;224;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;114,00;0,00;114,00
;TEC-EL881-01;11 feb 2022;18 feb 2022;274;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;86,50;0,00;86,50
;TEC-333106902;03 feb 2022;12 feb 2022;2280;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;16,50;0,00;16,50
;;11 feb 2022;12 feb 2022;22;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;49,50;0,00;49,50
;;03 mar 2022;11 mar 2022;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;16,50;0,00;16,50
;;03 apr 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;33,00;33,00;0,00
;;03 mag 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;33,00;33,00;0,00
;;03 giu 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;33,00;33,00;0,00
;;03 lug 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;33,00;33,00;0,00
;;03 set 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;33,00;33,00;0,00
;;03 ott 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;33,00;33,00;0,00
;;03 nov 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;33,00;33,00;0,00
;TEC-330264901;03 feb 2022;12 feb 2022;2280;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;29,25;0,00;29,25
;;18 mar 2022;19 mar 2022;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;117,00;0,00;117,00
;;03 apr 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;487,50;487,50;0,00
;;03 mag 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;489,45;489,45;0,00
;;03 giu 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;507,00;507,00;0,00
;;03 lug 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;487,50;487,50;0,00
;;03 set 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;487,50;487,50;0,00
;;03 ott 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;487,50;487,50;0,00
;;03 nov 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;487,50;487,50;0,00
;TEC-330130903;03 apr 2022;Non definito;2125;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;156,00;156,00;0,00
;;03 mag 2022;Non definito;2125;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;312,00;312,00;0,00
;;;;2280;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;39,00;39,00;0,00
;;03 giu 2022;Non definito;2125;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;312,00;312,00;0,00
;;03 lug 2022;Non definito;2125;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;312,00;312,00;0,00
;;03 set 2022;Non definito;2125;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;312,00;312,00;0,00
;;03 ott 2022;Non definito;2125;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;312,00;312,00;0,00
;;03 nov 2022;Non definito;2125;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;312,00;312,00;0,00
;TEC-EL886-01;27 set 2021;14 ott 2021;1639;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;9,05;0,00;9,05
;;15 ott 2021;25 ott 2021;1771;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;33,80;0,00;33,80
;;28 gen 2022;02 feb 2022;156;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;33,80;0,00;33,80
;TEC-EL809-01;24 set 2021;20 set 2021;1503;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;23,60;0,00;23,60
;;15 ott 2021;18 ott 2021;1739;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;23,60;0,00;23,60
;TEC-SL857-01;14 gen 2022;24 gen 2022;1933;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;173,00;0,00;173,00
;TEC-330264905;03 feb 2022;07 feb 2022;2280;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;4,65;0,00;4,65
;;03 giu 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;3,10;3,10;0,00
;;03 lug 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;43,40;43,40;0,00
;;03 set 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;43,40;43,40;0,00
;;03 ott 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;43,40;43,40;0,00
;;03 nov 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;43,40;43,40;0,00
;TEC-330264902;03 feb 2022;02 feb 2022;2280;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;29,60;0,00;29,60
;;18 mar 2022;19 mar 2022;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;207,20;0,00;207,20
;;03 apr 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;222,00;222,00;0,00
;;03 mag 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;222,00;222,00;0,00
;;03 giu 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;222,00;222,00;0,00
;;03 lug 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;222,00;222,00;0,00
;;03 set 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;222,00;222,00;0,00
;;03 ott 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;222,00;222,00;0,00
;;03 nov 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;222,00;222,00;0,00
;TEC-EL989-01;24 set 2021;10 set 2021;1503;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;54,00;0,00;54,00
;TEC-EL669-01;03 feb 2022;16 mar 2022;22;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;108,90;0,00;108,90
;TEC-EL894-01;22 ott 2021;25 ott 2021;1680;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;58,08;0,00;58,08
;;03 gen 2022;18 gen 2022;2280;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;1,73;0,00;1,73
;TEC-EL893-01;22 ott 2021;19 nov 2021;1680;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;55,55;0,00;55,55
;TEC-EL849-01;17 set 2021;30 set 2021;1524;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;76,70;0,00;76,70
;;24 set 2021;30 set 2021;1524;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;38,35;0,00;38,35
;;08 ott 2021;12 ott 2021;1667;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;38,35;0,00;38,35
;;19 nov 2021;29 nov 2021;2030;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;345,15;0,00;345,15
;;18 mar 2022;11 mar 2022;406;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;230,55;0,00;230,55
;;29 apr 2022;Non definito;549;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;115,28;115,28;0,00
;TEC-330259916;15 nov 2021;17 nov 2021;2021;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;0,52;0,00;0,52
;;03 feb 2022;07 feb 2022;2280;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;10,40;0,00;10,40
;;03 mar 2022;05 mar 2022;2125;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;72,80;0,00;72,80
;;03 apr 2022;Non definito;2125;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;78,00;78,00;0,00
;;03 mag 2022;Non definito;2125;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;78,00;78,00;0,00
;;03 giu 2022;Non definito;2125;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;78,00;78,00;0,00
;;03 lug 2022;Non definito;2125;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;78,00;78,00;0,00
CABLING di Vichi Erica;TEC-330259916;03 set 2022;Non definito;2125;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;78,00;78,00;0,00
;;03 ott 2022;Non definito;2125;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;78,00;78,00;0,00
;;03 nov 2022;Non definito;2125;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;78,00;78,00;0,00
;TEC-330264906;03 feb 2022;07 feb 2022;2280;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;5,20;0,00;5,20
;;03 giu 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;2,60;2,60;0,00
;;03 lug 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;36,40;36,40;0,00
;;03 set 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;36,40;36,40;0,00
;;03 ott 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;36,40;36,40;0,00
;;03 nov 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;36,40;36,40;0,00
;TEC-EL438-01;03 dic 2021;06 dic 2021;1913;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;208,20;0,00;208,20
;;03 feb 2022;07 feb 2022;1913;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;208,20;0,00;208,20
;;03 apr 2022;Non definito;1913;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;208,20;208,20;0,00
;;03 giu 2022;Non definito;1913;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;208,20;208,20;0,00
;;03 lug 2022;Non definito;1913;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;208,20;208,20;0,00
;TEC-333103901;29 ott 2021;25 ott 2021;1785;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;28,90;0,00;28,90
;;03 nov 2021;08 nov 2021;1785;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;3,40;0,00;3,40
;;19 nov 2021;12 nov 2021;1952;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;2,21;0,00;2,21
;;05 gen 2022;18 gen 2022;1785;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;1,87;0,00;1,87
;;03 feb 2022;18 feb 2022;2280;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;1,70;0,00;1,70
;;05 feb 2022;18 feb 2022;1785;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;18,70;0,00;18,70
;;03 mar 2022;05 mar 2022;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;13,60;0,00;13,60
;;03 apr 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;27,37;27,37;0,00
;;03 mag 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;27,37;27,37;0,00
;;03 giu 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;27,20;27,20;0,00
;;03 lug 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;27,20;27,20;0,00
;;03 set 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;27,20;27,20;0,00
;;03 ott 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;27,20;27,20;0,00
;;03 nov 2022;Non definito;2126;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;27,20;27,20;0,00
;TEC-EL902-01;26 nov 2021;29 nov 2021;2035;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;72,00;0,00;72,00
;;10 dic 2021;10 dic 2021;2035;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;93,60;0,00;93,60
;;17 dic 2021;10 dic 2021;2057;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;72,00;0,00;72,00
;;07 gen 2022;24 gen 2022;2057;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;72,00;0,00;72,00
;;03 feb 2022;07 feb 2022;2057;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;72,00;0,00;72,00
