Fornitore;Articolo;OrAcq - Data Prevista Evasione;OrAcq - Data Effettiva Evasione;OrAcq - Numero Documento;Causale Documento;Pagamento Documento;Riga Evasa;OrAcq - Importo Generale 1;OrAcq - Importo Generale da evadere 1;OrAcq - Importo Generale Evaso 1
;TEC-LH000216-R;14 gen 2022;18 gen 2022;2178;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;14,49;0,00;14,49
;;08 apr 2022;Non definito;228;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;14,49;14,49;0,00
;TEC-JUK07005-R;12 nov 2021;02 nov 2021;1640;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;279,50;0,00;279,50
;;11 feb 2022;02 feb 2022;2065;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;279,50;0,00;279,50
;TEC-J2001005;14 dic 2021;17 dic 2021;1600;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;41,20;0,00;41,20
;;09 set 2022;Non definito;514;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;41,20;41,20;0,00
;TEC-VF200620;10 dic 2021;07 dic 2021;1999;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;53,64;0,00;53,64
;;10 gen 2022;04 mar 2022;1999;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;53,64;0,00;53,64
;TEC-CSLU300B4V-E;05 nov 2021;02 nov 2021;1486;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;46,51;0,00;46,51
;;14 gen 2022;18 gen 2022;2284;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;46,51;0,00;46,51
;;18 feb 2022;16 feb 2022;291;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;46,51;0,00;46,51
;;08 apr 2022;Non definito;228;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;47,81;47,81;0,00
;TEC-1N4007T/B;04 mar 2022;04 mar 2022;1999;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;66,60;0,00;66,60
;;10 giu 2022;Non definito;449;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;66,60;66,60;0,00
;;08 lug 2022;Non definito;449;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;199,80;199,80;0,00
;;09 set 2022;Non definito;449;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;133,20;133,20;0,00
;TEC-VA062343-R;10 giu 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;448,80;448,80;0,00
;;08 set 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;448,80;448,80;0,00
;TEC-GS000202-R;10 dic 2021;Non definito;1640;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Chiusa senza completa evasione;18,72;0,00;0,00
;;03 mar 2022;04 mar 2022;2065;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;42,12;0,00;42,12
;TEC-IYU00315-R;11 feb 2022;02 feb 2022;2065;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;26,25;0,00;26,25
;;18 feb 2022;02 feb 2022;95;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;6,56;0,00;6,56
;;10 mag 2022;16 mar 2022;266;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;0,00;0,00;0,00
;TEC-JW 06;14 gen 2022;18 gen 2022;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;63,20;0,00;63,20
;;08 apr 2022;Non definito;340;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;63,20;63,20;0,00
;TEC-HL-508H256WC-HD;04 feb 2022;02 feb 2022;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;215,44;0,00;215,44
;;11 mar 2022;04 mar 2022;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;215,44;0,00;215,44
;;08 apr 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;215,44;215,44;0,00
;;13 mag 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;215,44;215,44;0,00
;;10 giu 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;215,44;215,44;0,00
;;;;1999;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;107,72;107,72;0,00
;;08 lug 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;215,44;215,44;0,00
;;08 set 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;215,44;215,44;0,00
;;14 ott 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;215,44;215,44;0,00
;TEC-B3N-145R/H302;12 nov 2021;02 nov 2021;1507;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;141,70;0,00;141,70
;;08 lug 2022;Non definito;1916;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;141,70;141,70;0,00
;TEC-CSL500Y1DT;08 apr 2022;Non definito;228;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;47,81;47,81;0,00
;TEC-OH161089-R;14 gen 2022;18 gen 2022;2216;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;84,96;0,00;84,96
;TEC-OH201453-R;13 mag 2022;Non definito;266;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;81,50;81,50;0,00
;TEC-OH322012-R;14 gen 2022;18 gen 2022;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;1.929,60;0,00;1.929,60
;;11 feb 2022;02 feb 2022;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;1.929,60;0,00;1.929,60
;;11 mar 2022;04 mar 2022;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;1.929,60;0,00;1.929,60
;;08 apr 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;1.929,60;1.929,60;0,00
;;10 giu 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;2.894,40;2.894,40;0,00
;;08 lug 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;964,80;964,80;0,00
;TEC-OH161034-R;10 dic 2021;17 dic 2021;2209;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;77,90;0,00;77,90
;;14 gen 2022;18 gen 2022;2209;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;155,80;0,00;155,80
;;13 feb 2022;02 feb 2022;1640;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;77,90;0,00;77,90
;TEC-KPT-2012SGC;08 ott 2021;07 ott 2021;1558;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;81,50;0,00;81,50
;;10 gen 2022;18 gen 2022;1640;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;81,50;0,00;81,50
;;11 feb 2022;02 feb 2022;2065;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;81,50;0,00;81,50
;;08 lug 2022;Non definito;340;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;81,50;81,50;0,00
;TEC-MK157502GO;03 dic 2021;07 dic 2021;2150;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;50,08;0,00;50,08
;TEC-MK157503GO;03 dic 2021;07 dic 2021;2150;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;75,10;0,00;75,10
;TEC-FUORI MAGAZZINO;08 ott 2021;07 ott 2021;1615;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;49,50;0,00;49,50
;;;;1663;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;74,25;0,00;74,25
;;;;1666;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;24,30;0,00;24,30
;;;Non definito;1736;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Chiusa senza completa evasione;0,00;0,00;0,00
;;12 nov 2021;18 nov 2021;2015;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;649,35;0,00;649,35
;;;12 nov 2021;1930;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;10,84;0,00;10,84
;;;02 nov 2021;1874;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;152,55;0,00;152,55
;;31 dic 2021;02 nov 2021;1666;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;445,50;0,00;445,50
;;11 feb 2022;09 feb 2022;223;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;55,13;0,00;55,13
;;;02 feb 2022;189;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;100,31;0,00;100,31
;;18 feb 2022;09 feb 2022;189;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;401,24;0,00;401,24
;;11 mar 2022;04 mar 2022;411;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;99,00;0,00;99,00
;;08 apr 2022;Non definito;562;Ordini imballi - materiali consumo;Ricevuta Bancaria 90 df fm+10;Aperta;78,30;78,30;0,00
;TEC-W10M;11 mar 2022;04 mar 2022;386;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;9,41;0,00;9,41
;;27 mag 2022;Non definito;386;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Chiusa senza completa evasione;42,34;0,00;0,00
;TEC-YBH40060;18 feb 2022;16 feb 2022;297;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;10,00;0,00;10,00
;TEC-YBH80100;11 mar 2022;04 mar 2022;386;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;177,59;0,00;177,59
;TEC-VF200560-R;15 mar 2022;16 mar 2022;502;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;474,90;0,00;474,90
;TEC-VF200600;04 mar 2022;04 mar 2022;1999;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;120,24;0,00;120,24
;TEC-GN000412;14 gen 2022;18 gen 2022;2065;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;46,95;0,00;46,95
;TEC-KTH05396KA;04 feb 2022;02 feb 2022;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;205,41;0,00;205,41
;;11 mar 2022;04 mar 2022;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;136,94;0,00;136,94
;;08 apr 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;273,88;273,88;0,00
;;10 mag 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;273,88;273,88;0,00
;;10 giu 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;273,88;273,88;0,00
;;08 lug 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;547,76;547,76;0,00
;;08 set 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;273,88;273,88;0,00
;;09 set 2022;Non definito;1999;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;68,47;68,47;0,00
;;03 ott 2022;02 nov 2021;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;273,88;0,00;273,88
;;03 nov 2022;02 nov 2021;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;273,88;0,00;273,88
;TEC-KTH05487;04 feb 2022;02 feb 2022;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;308,10;0,00;308,10
;;25 feb 2022;04 mar 2022;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;492,96;0,00;492,96
;;11 mar 2022;04 mar 2022;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;369,72;0,00;369,72
;;08 apr 2022;Non definito;340;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;450,10;450,10;0,00
;;15 apr 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;369,72;369,72;0,00
;;13 mag 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;246,48;246,48;0,00
;;10 giu 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;308,10;308,10;0,00
